City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2022-08-31 17:50:19,-21.2078,-159.775,75.25,94,75,4.61
68,New Norfolk,AU,2022-08-31 17:51:54,-42.7826,147.0587,51.71,71,87,6.58
69,Emerald,AU,2022-08-31 17:48:37,-23.5333,148.1667,56.34,93,33,6.04
70,Punta Arenas,CL,2022-08-31 17:49:23,-53.15,-70.9167,44.71,65,100,4.61
71,Bubaque,GW,2022-08-31 17:51:55,11.2833,-15.8333,79.65,81,100,15.23
72,Belaya,UA,2022-08-31 17:51:55,49.029,25.7706,64.96,50,97,6.73
73,Saint-Philippe,RE,2022-08-31 17:51:55,-21.3585,55.7679,69.39,80,42,3.62
74,Zschopau,DE,2022-08-31 17:51:56,50.75,13.0667,63.97,74,100,6.44
75,Ulladulla,AU,2022-08-31 17:51:56,-35.35,150.4667,48.78,93,69,4.85
76,Ponta Do Sol,PT,2022-08-31 17:51:56,32.6667,-17.1,79.72,73,95,7.18
77,Vuktyl,RU,2022-08-31 17:51:56,63.8567,57.3094,42.12,70,87,5.79
78,Matara,LK,2022-08-31 17:51:57,5.9485,80.5353,76.32,90,100,14.14
79,High Level,CA,2022-08-31 17:51:57,58.5169,-117.136,62.71,55,75,8.05
80,Dunedin,NZ,2022-08-31 17:50:49,-45.8742,170.5036,51.8,83,75,1.45
81,Luderitz,NA,2022-08-31 17:51:57,-26.6481,15.1594,57.31,84,78,10.76
82,Esperance,AU,2022-08-31 17:51:58,-33.8667,121.9,51.75,79,26,5.21
83,Moron,AR,2022-08-31 17:51:58,-34.6534,-58.6198,70.93,68,76,7.14
84,Yulara,AU,2022-08-31 17:51:58,-25.2406,130.9889,54.48,68,100,7.38
85,Severobaykalsk,RU,2022-08-31 17:51:59,55.65,109.3167,46.98,92,100,2.86
86,Leningradskiy,RU,2022-08-31 17:51:59,69.3833,178.4167,33.39,99,100,10.98
87,Busselton,AU,2022-08-31 17:51:59,-33.65,115.3333,48.02,80,4,10.54
